book_id	isbn	authors	publication_year	title	language_code	average_rating
97	393970124	Bram Stoker, Nina Auerbach, David J. Skal	1897	Dracula	eng	3.98
98	307269981	Stieg Larsson, Reg Keeland	2006	Flickan som lekte med elden	eng	4.22
99	1612130585	E.L. James	2011	Fifty Shades Darker	eng	3.87
100	60786507	Barbara Kingsolver	1998	The Poisonwood Bible	eng	4.02
101	349113912	David Sedaris	2000	Me Talk Pretty One Day	eng	3.97
102	99408392	Maurice Sendak	1963	Where the Wild Things Are	eng	4.22
103	140449264	Alexandre Dumas, Robin Buss	1844	Le Comte de Monte-Cristo	eng	4.21
104	307265439	Cormac McCarthy	2006	The Road	eng	3.95
105	7524277	Veronica Roth	2013	Allegiant	eng	3.63
106		Tina Fey	2011	Bossypants	eng	3.94
107	446693804	Nicholas Sparks	1999	A Walk to Remember	en-US	4.15
108	440241413	Sophie Kinsella	2000	Confessions of a Shopaholic	eng	3.61
109	451525264	Victor Hugo, Lee Fahnestock, Norman MacAfee	1862	Les Misérables	eng	4.14
110	553381695	George R.R. Martin	1998	A Clash of Kings	eng	4.4
111	143037145	Kim Edwards	2005	The Memory Keeper's Daughter	eng	3.64
112	670026603	Jojo Moyes	2012	Me Before You	eng	4.27
113	684833395	Joseph Heller	1961	Catch-22	en-US	3.98
114	751529818	Mitch Albom, Saulius Dagys	1997	Tuesdays with Morrie	eng	4.06
115	312422156	Jeffrey Eugenides	2002	Middlesex	en-US	3.98
116	143039563	Mark Twain, Guy Cardwell, John Seelye	1876	The Adventures of Tom Sawyer	eng	3.89
117	440498058	Madeleine L'Engle	1962	A Wrinkle in Time	en-US	4.04
118	143038095	Amy Tan	1989	The Joy Luck Club	eng	3.9
119	038549081X	Margaret Atwood	1985	The Handmaid's Tale	eng	4.06
120	385729332	Ann Brashares	2001	The Sisterhood of the Traveling Pants	eng	3.75
121		Vladimir Nabokov, Craig Raine	1955	Lolita	eng	3.88
122	60987103	Gregory Maguire, Douglas Smith	1995	Wicked: The Life and Times of the Wicked Witch of the West	eng	3.52
123	582418275	John Grisham	1991	The Firm	eng	3.99
124	316098337	Emma Donoghue	2010	Room	eng	4.03
125	521618746	William Shakespeare, Richard Andrews, Rex Gibson	1600	The Tragicall Historie of Hamlet, Prince of Denmark	eng	4
126	340839937	Frank Herbert	1965	Dune	eng	4.19
127	316346624	Malcolm Gladwell	2000	The Tipping Point: How Little Things Can Make a Big Difference	eng	3.92
128	1451648537	Walter Isaacson	2011	Steve Jobs	eng	4.09
129	451163966	Ken Kesey	1962	One Flew Over the Cuckoo's Nest	eng	4.18
130	684830493	Ernest Hemingway	1952	The Old Man and the Sea	eng	3.73
131	142000663	John Steinbeck	1939	The Grapes of Wrath	eng	3.92
132	1401308589	Mitch Albom	2003	The Five People You Meet in Heaven		3.9
133	451528824	L.M. Montgomery	1908	Anne of Green Gables	eng	4.23
134	1416914307	Cassandra Clare	2009	City of Glass	en-US	4.34
135	055357342X	George R.R. Martin	2000	A Storm of Swords	eng	4.54
136	006075995X	Rebecca Wells	1996	Divine Secrets of the Ya-Ya Sisterhood	en-US	3.79
137	440242940	Diana Gabaldon	1991	Outlander	eng	4.2
138	142437263	Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym	1850	The Scarlet Letter	eng	3.37
139	1594744769	Ransom Riggs	2011	Miss Peregrine’s Home for Peculiar Children	en-US	3.89
140	030726999X	Stieg Larsson, Reg Keeland	2007	Luftslottet som sprängdes	en-US	4.2
141	804139024	Andy Weir	2012	The Martian	eng	4.39
142	451207149	Ken Follett	1989	The Pillars of the Earth	eng	4.29
143	1476746583	Anthony Doerr	2014		eng	4.31
144	1400064163	Laura Hillenbrand	2010	Unbroken: A World War II Story of Survival, Resilience, and Redemption	eng	4.4
145	671027387	Dan Brown	2001	Deception Point	eng	3.67
146	316055433	Donna Tartt	2013	The Goldfinch	eng	3.87
147	1595141715	Jay Asher	2007	Thirteen Reasons Why	eng	4.02
148	452287022	Tracy Chevalier	1999	Girl with a Pearl Earring	eng	3.85
149	525421033	Gayle Forman	2009	If I Stay	en-US	3.96
150	312353766	Anita Diamant	1997	The Red Tent	en-US	4.16
151	786856866	Rick Riordan	2006	The Sea of Monsters	eng	4.23
152	446528056	Nicholas Sparks	2006	Dear John	en-US	4.01
153	1416914293	Cassandra Clare	2008	City of Ashes	eng	4.21
154	743477103	William Shakespeare	1606	The Tragedy of Macbeth	eng	3.88
155	618346260	J.R.R. Tolkien	1954	The Two Towers	en-US	4.42
156	031232118X	Emily Giffin	2004	Something Borrowed	eng	3.83
157	394800168	Dr. Seuss, לאה נאור	1960	Green Eggs and Ham	en-US	4.29
158	142403881	Roald Dahl, Quentin Blake	1964	Charlie and the Chocolate Factory	eng	4.1
159	1423101464	Rick Riordan	2008	The Battle of the Labyrinth	eng	4.39
160	192833596	Charles Dickens	1860	Great Expectations	eng	3.75
161	345339738	J.R.R. Tolkien	1955	The Return of the King	en-US	4.51
162		Albert Camus, Matthew    Ward	1942	L’Étranger	eng	3.96
163	142311339X	Rick Riordan	2010	The Lost Hero	eng	4.35
164	1250012570	Rainbow Rowell	2013	Eleanor & Park	eng	4.11
165	055358202X	George R.R. Martin	2005	A Feast for Crows	en-US	4.1
166	525423648	Ally Condie	2010	Matched	eng	3.68
167	747263744	Neil Gaiman	2001	American Gods	eng	4.11
168	385199570	Stephen King, Bernie Wrightson	1978	The Stand	en-US	4.34
169	446547565	Nicholas Sparks	2008	The Last Song	en-GB	4.14
170	552151696	Dan Brown	1998	Digital Fortress	en-GB	3.6
171	141439580	Jane Austen, Fiona Stafford	1815	Emma	eng	3.99
172	345803922	Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude	1877	Анна Каренина	eng	4.02
173	393312836	Anthony Burgess	1962	A Clockwork Orange	eng	3.98
174	964729237	William Paul Young	2007	The Shack: Where Tragedy Confronts Eternity	eng	3.74
175	739380338	Rick Riordan	2009	The Last Olympian	eng	4.5
176	451169514	Stephen King	1986	It	en-US	4.18
177	143058142	Fyodor Dostoyevsky, David McDuff	1866	Преступление и наказание	eng	4.18
178	61148512	Sylvia Plath	1963	The Bell Jar	en-US	3.98
179	7205236	Frank McCourt	1996	Angela's Ashes: A Memoir	eng	4.07
180	553208845	Hermann Hesse, Hilda Rosner	1922	Siddhartha	eng	3.99
181	679745580	Truman Capote	1965	In Cold Blood	eng	4.05
182	316042676	Kami Garcia, Margaret Stohl	2009	Beautiful Creatures	eng	3.76
183	1416975861	Cassandra Clare	2010	Clockwork Angel	eng	4.33
184	141301066	Roald Dahl, Quentin Blake	1988	Matilda	eng	4.29
185	385534639	Erin Morgenstern	2011	The Night Circus	eng	4.03
186	743227441	Philippa Gregory	2001	The Other Boleyn Girl	eng	4.04
187	689865384	Scott Westerfeld	2005	Uglies	eng	3.86
188		George R.R. Martin	2011	A Dance with Dragons	eng	4.31
189	618640150	J.R.R. Tolkien	1955	The Lord of the Rings	eng	4.47
190	307592731	Cheryl Strayed	2012	Wild: From Lost to Found on the Pacific Crest Trail 	eng	3.96
191	930289234	Alan Moore, Dave Gibbons, John Higgins	1987	Watchmen	en-US	4.35
192	075640407X	Patrick Rothfuss	2007	The Name of the Wind	eng	4.55
193	316017922	Malcolm Gladwell	2008	Outliers: The Story of Success	en-US	4.11
194	142437247	Herman Melville, Andrew Delbanco, Tom Quirk	1851	Moby Dick; or, The Whale	eng	3.46
195	385340990	Mary Ann Shaffer, Annie Barrows	2008	The Guernsey Literary and Potato Peel Pie Society	eng	4.12
196	393327345	Chuck Palahniuk	1996	Fight Club	eng	4.2
197	441008534	Charlaine Harris	2001	Dead Until Dark	en-US	3.96
198	671727796	Alice Walker	1982	The Color Purple	eng	4.17
199	739461192	John Grogan	2005	Marley & Me: Life and Love with the World's Worst Dog	eng	4.12
200	312330871	Agatha Christie	1939	And Then There Were None	eng	4.23
201	385504225	Dan Brown	2009	The Lost Symbol	eng	3.66
202	1416989412	Becca Fitzpatrick	2009	Hush, Hush	en-US	4
203		Jamie McGuire	2011	Beautiful Disaster	eng	4.15
204	1561797464	Charles Dickens	1843	A Christmas Carol		4.02
205	345476875	Anne Rice	1976	Interview with the Vampire	eng	3.97
206	62059939	Kiera Cass	2012	The Selection	en-US	4.15
207	312362080	Janet Evanovich	1994	One for the Money	en-US	4.03
208	1400052173	Rebecca Skloot	2010	The Immortal Life of Henrietta Lacks	eng	4.04
209	99446782	Thomas Harris	1988	The Silence of the Lambs	eng	4.14
210	159514174X	Richelle Mead	2007		en-US	4.14
211	316010669	Malcolm Gladwell	2005	Blink: The Power of Thinking Without Thinking	en-US	3.89
212	038572179X	Ian McEwan	2001	Atonement	eng	3.88
213	553213695	Franz Kafka, Stanley Corngold	1915	Die Verwandlung	eng	3.78
214	141382899	Rick Riordan	2007	The Titan's Curse	eng	4.33
215	030788743X	Ernest Cline	2011		eng	4.31
216	1554681723	Garth Stein	2006	The Art of Racing in the Rain	eng	4.19
217	739303406	Erik Larson, Tony Goldwyn	2003	The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America	eng	3.98
218	425263908	Sylvia Day	2012	Bared to You	eng	4.19
219	66238501	C.S. Lewis, Pauline Baynes	1956	The Chronicles of Narnia	eng	4.24
220	316043133	Mark Cotta Vaz		Twilight: The Complete Illustrated Movie Companion	en-US	4.23
221	1558743669	Dave Pelzer	1995	"A Child Called ""It"": One Child's Courage to Survive"	eng	4.08
222	752864327	Robert Ludlum	1980	The Bourne Identity	eng	3.98
223	786817879	Eoin Colfer	2001	Artemis Fowl	eng	3.82
224	385738935	Lauren Kate	2009	Fallen	en-US	3.74
225	142000655	John Steinbeck	1952	East of Eden  	eng	4.35
226	307341569	Gillian Flynn	2009	Dark Places	eng	3.92
227	385339089	John Grisham	1993	The Client	eng	3.97
228	312291639	Emma McLaughlin, Nicola Kraus	2002	The Nanny Diaries	eng	3.4
229	451527747	Lewis Carroll, John Tenniel, Martin Gardner	1865	Alice's Adventures in Wonderland	eng	4.06
230	192802631	Jane Austen, James Kinsley, Deidre Shauna Lynch	1817	Persuasion	eng	4.13
231	312370830	Tatiana de Rosnay	2007	Elle s'appelait Sarah	eng	4.14
232	452284694	Stephen King	1982	The Gunslinger	en-US	3.99
233	140003468X	Gabriel García Márquez, Edith Grossman	1985	El amor en los tiempos del cólera	eng	3.89
234	014131088X	Laurie Halse Anderson	1999	Speak	eng	4
235	399159347	Liane Moriarty	2013	The Husband's Secret 	eng	3.92
236	385494785	Jon Krakauer	1997	Into Thin Air: A Personal Account of the Mt. Everest Disaster	en-US	4.11
237	1416524304	Stephen King	1974	Carrie		3.93
238	031242227X	Augusten Burroughs	2002	Running with Scissors	en-US	3.7
239	307346609	Max Brooks	2006	World War Z: An Oral History of the Zombie War	en-US	4.01
240	385537859	Dan Brown	2013	Inferno	eng	3.8
241	440227534	Lois Lowry	1989	Number the Stars	eng	4.11
242	446692638	James Patterson	1993	Along Came a Spider	eng	4.08
243	450417395	Stephen King	1987	Misery	en-GB	4.11
244	307341542	Gillian Flynn	2006	Sharp Objects	en-US	3.92
245	439366771	Katherine Paterson	1977	Bridge to Terabithia	eng	3.98
246	312360266	P.C. Cast, Kristin Cast	2007	Marked	en-US	3.79
247	743269519	Stephen R. Covey	1989	The 7 Habits of Highly Effective People	en-US	4.05
248	743477545	William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey	1595	A Midsummer Night's Dream	eng	3.94
249	618711651	Jonathan Safran Foer	2005	Extremely Loud and Incredibly Close	en-US	3.97
250	375869026	R.J. Palacio	2012	Wonder	eng	4.43
251	039480001X	Dr. Seuss	1957	The Cat in the Hat	eng	4.15
252	312641893	Marissa Meyer	2012	Cinder	eng	4.15
253	316206849	Robert Galbraith, J.K. Rowling	2013	The Cuckoo's Calling	en-US	3.83
254	545123267	Maggie Stiefvater	2009	Shiver	eng	3.78
255	452011876	Ayn Rand, Leonard Peikoff	1957	Atlas Shrugged	eng	3.68
256	143038257	Greg Mortenson, David Oliver Relin	2006	Three Cups of Tea 	en-US	3.64
257	517223627	Jane Carruth, Lewis Carroll, Rene Cloke	1865		eng	4.03
258	143034901	Carlos Ruiz Zafón, Lucia Graves	2001	La sombra del viento	eng	4.24
259	385738757	James Dashner	2010	The Scorch Trials	eng	3.93
260		Dale Carnegie	1936	How to Win Friends and Influence People	eng	4.13
261	767900383	Frances Mayes	1996	Under the Tuscan Sun	eng	3.72
262	399167064	Liane Moriarty	2014	Big Little Lies	eng	4.2
263	590920685	Gail Carson Levine	1997	Ella Enchanted	eng	3.97
264	743297334	Ernest Hemingway	1926	The Sun Also Rises	en-US	3.83
265	61120073	Betty  Smith	1943	A Tree Grows In Brooklyn 	eng	4.24
266	446677388	James Patterson	1995	Kiss the Girls	eng	3.93
267	312577222	Kristin Hannah	2015	The Nightingale	eng	4.54
268	1400078776	Kazuo Ishiguro	2005	Never Let Me Go	eng	3.8
269	786890754	Cecelia Ahern	2003	PS, I Love You	en-US	4.01
270	1844080382	Daphne du Maurier, Sally Beauman	1938	Rebecca	en-US	4.2
271	156030306	Daniel Keyes	1966	Flowers for Algernon	en-US	4.07
272	552995878	Laura Esquivel, Thomas  Christensen, Carol Christensen	1989	Como agua para chocolate	en-US	3.94
273	812968069	Lisa See	2005	Snow Flower and the Secret Fan	eng	4.05
274	451205766	Mario Puzo, Robert Thompson, Peter Bart	1969	The Godfather	eng	4.36
275	525476881	John Green	2006	An Abundance of Katherines	eng	3.63
276	553803719	Isaac Asimov	1951	Foundation	eng	4.13
277	62255657	Neil Gaiman	2013	The Ocean at the End of the Lane	eng	3.99
278	60513063	Shel Silverstein	1981	A Light in the Attic	eng	4.34
279	751565350	John Tiffany, Jack Thorne, J.K. Rowling	2016	Harry Potter and the Cursed Child, Parts One and Two	eng	3.75
280	61726834	Lauren Oliver	2011	Delirium	eng	3.99
281	385339704	John Grisham	1992	The Pelican Brief	eng	3.95
282	61139378	Neil Gaiman	2002	Coraline	eng	4.03
283	60853980	Terry Pratchett, Neil Gaiman	1990	Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	en-US	4.25
284	140042598	Jack Kerouac	1955	On the Road	eng	3.64
285	1476729085	Graeme Simsion	2013	The Rosie Project	eng	4.01
286	446579939	Nicholas Sparks	2008	The Lucky One	en-US	4.1
287	451191153	Ayn Rand, Leonard Peikoff	1943	The Fountainhead	eng	3.85
288	425172902	Tom Clancy	1984	The Hunt for Red October		4.01
289	038039586X	Richard Adams	1972	Watership Down	eng	4.05
290	307886263	Mindy Kaling	2011	Is Everyone Hanging Out Without Me? (And Other Concerns)	eng	3.84
291	375414495	Abraham Verghese	2009	Cutting for Stone	eng	4.28
292	006112527X	C.S. Lewis, Pauline Baynes	1951	The Voyage of the Dawn Treader	eng	4.08
293	753453800	Robert Louis Stevenson	1882	Treasure Island	eng	3.82
294	1423140591	Rick Riordan	2011	The Son of Neptune 	eng	4.44
295	1451627289	Stephen King	2011	11/22/1963	eng	4.29
296	241003008	Eric Carle	1969	The Very Hungry Caterpillar	eng	4.29
297	140285601	Kurt Vonnegut Jr.	1963	Cat's Cradle	eng	4.18
298	451528557	H.G. Wells, Greg Bear, Carlo Pagetti	1895	The Time Machine	eng	3.87
299	849946158	Todd Burpo, Lynn Vincent	2010		eng	4.01
300	385751060	John Boyne	2006	The Boy in the Striped Pyjamas	eng	4.1
301	1892295490	Joseph Conrad	1899	Heart of Darkness	eng	3.42
302	044654759X	Nicholas Sparks	2010	Safe Haven	eng	4.19
303	1582701709	Rhonda Byrne	2006	The Secret	eng	3.62
304	60987561	Wally Lamb	1998	I Know This Much Is True 	eng	4.17
305	1416524347	Stephen King	1983	Pet Sematary	eng	3.91
306	671021001	Wally Lamb	1992	She's Come Undone	en-US	3.84
307	756404738	Patrick Rothfuss	2011	The Wise Man's Fear	eng	4.57
308	440241901	Sophie Kinsella	2003	Can You Keep a Secret?	en-US	3.83
309	1442403543	Cassandra Clare	2011	City of Fallen Angels	en-US	4.16
310	743418174	Jennifer Weiner	2001	Good in Bed	en-US	3.7
311	380018179	Colleen McCullough	1977	The Thorn Birds	eng	4.22
312	60530928	Neil Gaiman, Dave McKean	2008	The Graveyard Book	en-US	4.12
313	1451681739	M.L. Stedman	2012	The Light Between Oceans	eng	4
314	439709105	Cornelia Funke, Anthea Bell	2003	Tintenherz	en-US	3.86
315	91883768	Spencer Johnson, Kenneth H. Blanchard	1998	Who Moved My Cheese?	eng	3.74
316	307279464	Bill Bryson	1997	A Walk in the Woods	eng	4.05
317	553279378	Maya Angelou	1969	I Know Why the Caged Bird Sings	en-US	4.19
318	61950726	Christina Baker Kline	2013	Orphan Train	eng	4.14
319	1442416866	Cassandra Clare	2012	City of Lost Souls	eng	4.3
320	316204277	Maria Semple	2012	Where'd You Go, Bernadette	eng	3.9
321	375806814	Wilson Rawls	1961	Where the Red Fern Grows		4.04
322	60557818	Neil Gaiman	1996	Neverwhere	eng	4.18
323	571224385	Milan Kundera, Michael Henry Heim	1984	Nesnesitelná lehkost bytí	eng	4.08
324		Rainbow Rowell	2013		eng	4.12
325	552135399	John Irving	1989	A Prayer for Owen Meany	eng	4.22
326	316182540	Janet Fitch	1999	White Oleander	eng	3.93
327	039925675X	Marie Lu	2011	Legend	eng	4.19
328	743496728	Jodi Picoult	2007	Nineteen Minutes	eng	4.1
329	1401323251	Randy Pausch, Jeffrey Zaslow	2008	The Last Lecture	eng	4.25
330	812511816	Robert Jordan	1990	The Eye of the World	eng	4.18
331	61150142	Jodi Picoult	1998	The Pact	en-US	4
332	60764902	C.S. Lewis	1953	The magician's nephew	eng	4.01
333	595440096	Lisa Genova	2007	Still Alice	eng	4.3
334	425263916	Sylvia Day	2012	Reflected in You	eng	4.33
335	375814248	Roald Dahl, Quentin Blake	1961	James and the Giant Peach	eng	3.99
336	446696617	James Patterson	2001	1st To Die	en-US	4.05
337	345453743	Douglas Adams	1996	The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story	eng	4.37
338	340896965	David Nicholls	2009	One Day	eng	3.77
339	60775858	Margaret Wise Brown, Clement Hurd	1947		en-US	4.27
340	61969559	Pittacus Lore	2010	I Am Number Four	en-US	3.94
341	140275363	Homer, Robert Fagles, Frédéric Mugler, Bernard Knox	-750	Ἰλιάς	eng	3.83
342	316228532	J.K. Rowling	2012	The Casual Vacancy	eng	3.28
343	385339690	John Grisham	1996	The Runaway Jury	eng	3.96
344	316777730	David Sedaris	1997	Naked	en-US	4.08
345	375840400	Christopher Paolini	2005	Eldest	en-US	3.96
346	140621679	L. Frank Baum, W.W. Denslow	1900	The Wonderful Wizard of Oz	eng	3.98
347	000720230X	C.S. Lewis	1951	Prince Caspian: The Return to Narnia	eng	3.96
348		E. Lockhart	2014	We Were Liars	eng	3.85
349	450031063	Stephen King	1975	Salem's Lot	en-GB	3.99
350	679785892	Hunter S. Thompson, Ralph Steadman	1971	Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream	eng	4.08
351	1416975888	Cassandra Clare	2011	Clockwork Prince	eng	4.46
352	62268341	Amy Poehler	2014	Yes Please	eng	3.81
353	743477553	William Shakespeare	1603	The Tragedy of Othello, The Moor of Venice	eng	3.88
354	1400033411	Toni Morrison	1987	Beloved	eng	3.77
355	015206396X	Kristin Cashore	2008	Graceling	en-CA	4.1
356	439206472	Lemony Snicket, Brett Helquist	1999	The Bad Beginning	eng	3.89
357	449213943	Erich Maria Remarque, A.W. Wheen	1929	Im Westen nichts Neues	en-US	3.92
358	679805273	Dr. Seuss	1990	Oh, the Places You'll Go!	en-US	4.34
359	159463176X	Khaled Hosseini	2012	And The Mountains Echoed	eng	4.03
360	345404475	Philip K. Dick, Roger Zelazny	1968	Do Androids Dream of Electric Sheep?	eng	4.08
361	141439742	Charles Dickens, George Cruikshank, Philip Horne	1838	Oliver Twist	eng	3.85
362	60652896	C.S. Lewis	1942	A Grief Observed	eng	4.21
363	525423273	Stephanie Perkins	2010	Anna and the French Kiss	en-US	4.08
364	7173040	Dr. Seuss	1957	How the Grinch Stole Christmas!	eng	4.36
